subject,time_bin,stress_mean,stress_std,stress_max,high_pressure_share,defect_rate,delay_flag,cycle_time
S5,1,0.03565122454406779,0.033050554013356846,0.12357235,0.2711864406779661,0.0122942996399517,0,58.54997808814129
S5,2,0.010686309173333334,0.005749816963964398,0.028543467,0.0,0.009572510634761,0,61.72146289513473
S5,3,0.010417650229166667,0.003669053825210267,0.019273372,0.0,0.0122199873323915,0,60.17145225486046
S6,0,0.008928077036666668,0.0033675707566765338,0.022836693,0.05,0.0161605179244084,0,63.93822670416721
S6,1,0.008144821836666667,0.005623536519887409,0.017465916,0.25,0.0063981018750848,0,67.08297503139673
S6,2,0.0024791068033333335,0.0011990487240728686,0.0046080095,0.0,0.013058240809168,1,71.00186026511656
S6,3,0.0018174581652173915,0.0004765961374127142,0.0028385855,0.0,0.0076237104972442,0,64.65216220501412
S7,0,0.033813649598333335,0.02067324924442216,0.08610516,0.23333333333333334,0.0121889393053548,0,58.15889472138567
S7,1,0.03093834577966102,0.011977306812937932,0.08207748,0.06779661016949153,0.0115926390176837,0,58.791070431430505
S7,2,0.01900649293,0.008265125467338421,0.034872096,0.0,0.0056388060778694,0,62.74809201177591
S7,3,0.0136746175,0.00354495321524358,0.020104988,0.0,0.0137864719548086,0,59.46880546568468
S8,0,0.066636836735,0.07203722906824786,0.23299247,0.3,0.0094155753750688,0,59.72242915367162
S8,1,0.00704991483,0.008663058215397236,0.06042808,0.0,0.008568770612659,0,62.92160728926983
S8,2,0.0060687614062499996,0.002669121817638122,0.011256685,0.0,0.0114407377433331,0,66.65708899953714
S8,3,0.004250862161904762,0.004458087480276793,0.021946916,0.0,0.0085900883189507,0,59.055683657760575
S9,0,0.00486555387,0.0028846198878143743,0.013674807,0.13333333333333333,0.0115426916647421,0,64.00642543628655
S9,1,0.0048025467254237285,0.003497984629527801,0.017908368,0.1694915254237288,0.0167371114075936,0,55.76032015426071
S9,2,0.0036605623566666667,0.0013593458153134967,0.006961784,0.0,0.0114354923695627,0,61.80545229461821
S9,3,0.0035595366130434787,0.0008902258736851177,0.005556036,0.0,0.0113094181781465,1,64.30819789514406
